price,date
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:24
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:23
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:22
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007490.0,2021-04-23 12:21
1007590.0,2021-04-23 12:21
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007490.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007590.0,2021-04-23 12:20
1007490.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007490.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007490.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007490.0,2021-04-23 12:19
1007590.0,2021-04-23 12:19
1007490.0,2021-04-23 12:19
1007490.0,2021-04-23 12:18
1007490.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1007590.0,2021-04-23 12:18
1008430.0,2021-04-23 12:18
